dataInicial,dataFinal,percentual,fator,taxa,valorBase,valorCalculado
04/07/1994,05/07/1994,100.00,1.00398000,0.40,1000.00,1003.98
05/07/1994,06/07/1994,100.00,1.00399667,0.40,1000.00,1003.99
06/07/1994,07/07/1994,100.00,1.00400000,0.40,1000.00,1004.00
07/07/1994,08/07/1994,100.00,1.00397000,0.40,1000.00,1003.97
08/07/1994,09/07/1994,100.00,1.00389000,0.39,1000.00,1003.89
09/07/1994,10/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
10/07/1994,11/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
11/07/1994,12/07/1994,100.00,1.00375667,0.38,1000.00,1003.75
12/07/1994,13/07/1994,100.00,1.00380000,0.38,1000.00,1003.80
13/07/1994,14/07/1994,100.00,1.00380333,0.38,1000.00,1003.80
14/07/1994,15/07/1994,100.00,1.00374667,0.37,1000.00,1003.74
15/07/1994,16/07/1994,100.00,1.00342667,0.34,1000.00,1003.42
16/07/1994,17/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
17/07/1994,18/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
18/07/1994,19/07/1994,100.00,1.00332333,0.33,1000.00,1003.32
19/07/1994,20/07/1994,100.00,1.00337667,0.34,1000.00,1003.37
20/07/1994,21/07/1994,100.00,1.00336333,0.34,1000.00,1003.36
21/07/1994,22/07/1994,100.00,1.00276333,0.28,1000.00,1002.76
22/07/1994,23/07/1994,100.00,1.00238000,0.24,1000.00,1002.38
23/07/1994,24/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
24/07/1994,25/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
25/07/1994,26/07/1994,100.00,1.00244667,0.24,1000.00,1002.44
26/07/1994,27/07/1994,100.00,1.00234000,0.23,1000.00,1002.34
27/07/1994,28/07/1994,100.00,1.00245333,0.25,1000.00,1002.45
28/07/1994,29/07/1994,100.00,1.00209667,0.21,1000.00,1002.09
29/07/1994,30/07/1994,100.00,1.00183333,0.18,1000.00,1001.83
30/07/1994,31/07/1994,100.00,1.00000000,0.00,1000.00,1000.00
31/07/1994,01/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
01/08/1994,02/08/1994,100.00,1.00184333,0.18,1000.00,1001.84
02/08/1994,03/08/1994,100.00,1.00183667,0.18,1000.00,1001.83
03/08/1994,04/08/1994,100.00,1.00184333,0.18,1000.00,1001.84
04/08/1994,05/08/1994,100.00,1.00184000,0.18,1000.00,1001.84
05/08/1994,06/08/1994,100.00,1.00174333,0.17,1000.00,1001.74
06/08/1994,07/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
07/08/1994,08/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
08/08/1994,09/08/1994,100.00,1.00177000,0.18,1000.00,1001.77
09/08/1994,10/08/1994,100.00,1.00177333,0.18,1000.00,1001.77
10/08/1994,11/08/1994,100.00,1.00177333,0.18,1000.00,1001.77
11/08/1994,12/08/1994,100.00,1.00177333,0.18,1000.00,1001.77
12/08/1994,13/08/1994,100.00,1.00177667,0.18,1000.00,1001.77
13/08/1994,14/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
14/08/1994,15/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
15/08/1994,16/08/1994,100.00,1.00177000,0.18,1000.00,1001.77
16/08/1994,17/08/1994,100.00,1.00175667,0.18,1000.00,1001.75
17/08/1994,18/08/1994,100.00,1.00175667,0.18,1000.00,1001.75
18/08/1994,19/08/1994,100.00,1.00176000,0.18,1000.00,1001.76
19/08/1994,20/08/1994,100.00,1.00176000,0.18,1000.00,1001.76
20/08/1994,21/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
21/08/1994,22/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
22/08/1994,23/08/1994,100.00,1.00176000,0.18,1000.00,1001.76
23/08/1994,24/08/1994,100.00,1.00175333,0.18,1000.00,1001.75
24/08/1994,25/08/1994,100.00,1.00175333,0.18,1000.00,1001.75
25/08/1994,26/08/1994,100.00,1.00175333,0.18,1000.00,1001.75
26/08/1994,27/08/1994,100.00,1.00175667,0.18,1000.00,1001.75
27/08/1994,28/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
28/08/1994,29/08/1994,100.00,1.00000000,0.00,1000.00,1000.00
29/08/1994,30/08/1994,100.00,1.00175333,0.18,1000.00,1001.75
30/08/1994,31/08/1994,100.00,1.00175000,0.18,1000.00,1001.75
31/08/1994,01/09/1994,100.00,1.00177333,0.18,1000.00,1001.77
01/09/1994,02/09/1994,100.00,1.00175333,0.18,1000.00,1001.75
02/09/1994,03/09/1994,100.00,1.00177667,0.18,1000.00,1001.77
03/09/1994,04/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
04/09/1994,05/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
05/09/1994,06/09/1994,100.00,1.00178667,0.18,1000.00,1001.78
06/09/1994,07/09/1994,100.00,1.00178667,0.18,1000.00,1001.78
07/09/1994,08/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
08/09/1994,09/09/1994,100.00,1.00179333,0.18,1000.00,1001.79
09/09/1994,10/09/1994,100.00,1.00178667,0.18,1000.00,1001.78
10/09/1994,11/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
11/09/1994,12/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
12/09/1994,13/09/1994,100.00,1.00179000,0.18,1000.00,1001.79
13/09/1994,14/09/1994,100.00,1.00180000,0.18,1000.00,1001.80
14/09/1994,15/09/1994,100.00,1.00180667,0.18,1000.00,1001.80
15/09/1994,16/09/1994,100.00,1.00180000,0.18,1000.00,1001.80
16/09/1994,17/09/1994,100.00,1.00179667,0.18,1000.00,1001.79
17/09/1994,18/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
18/09/1994,19/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
19/09/1994,20/09/1994,100.00,1.00179333,0.18,1000.00,1001.79
20/09/1994,21/09/1994,100.00,1.00179333,0.18,1000.00,1001.79
21/09/1994,22/09/1994,100.00,1.00179333,0.18,1000.00,1001.79
22/09/1994,23/09/1994,100.00,1.00179333,0.18,1000.00,1001.79
23/09/1994,24/09/1994,100.00,1.00179000,0.18,1000.00,1001.79
24/09/1994,25/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
25/09/1994,26/09/1994,100.00,1.00000000,0.00,1000.00,1000.00
26/09/1994,27/09/1994,100.00,1.00179000,0.18,1000.00,1001.79
27/09/1994,28/09/1994,100.00,1.00180000,0.18,1000.00,1001.80
28/09/1994,29/09/1994,100.00,1.00180000,0.18,1000.00,1001.80
29/09/1994,30/09/1994,100.00,1.00180333,0.18,1000.00,1001.80
30/09/1994,01/10/1994,100.00,1.00194333,0.19,1000.00,1001.94
01/10/1994,02/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
02/10/1994,03/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
03/10/1994,04/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
04/10/1994,05/10/1994,100.00,1.00187333,0.19,1000.00,1001.87
05/10/1994,06/10/1994,100.00,1.00189667,0.19,1000.00,1001.89
06/10/1994,07/10/1994,100.00,1.00188333,0.19,1000.00,1001.88
07/10/1994,08/10/1994,100.00,1.00189000,0.19,1000.00,1001.89
08/10/1994,09/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
09/10/1994,10/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
10/10/1994,11/10/1994,100.00,1.00188000,0.19,1000.00,1001.88
11/10/1994,12/10/1994,100.00,1.00188000,0.19,1000.00,1001.88
12/10/1994,13/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
13/10/1994,14/10/1994,100.00,1.00188333,0.19,1000.00,1001.88
14/10/1994,15/10/1994,100.00,1.00188333,0.19,1000.00,1001.88
15/10/1994,16/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
16/10/1994,17/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
17/10/1994,18/10/1994,100.00,1.00188000,0.19,1000.00,1001.88
18/10/1994,19/10/1994,100.00,1.00188000,0.19,1000.00,1001.88
19/10/1994,20/10/1994,100.00,1.00188333,0.19,1000.00,1001.88
20/10/1994,21/10/1994,100.00,1.00188333,0.19,1000.00,1001.88
21/10/1994,22/10/1994,100.00,1.00188333,0.19,1000.00,1001.88
22/10/1994,23/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
23/10/1994,24/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
24/10/1994,25/10/1994,100.00,1.00188667,0.19,1000.00,1001.88
25/10/1994,26/10/1994,100.00,1.00188667,0.19,1000.00,1001.88
26/10/1994,27/10/1994,100.00,1.00188667,0.19,1000.00,1001.88
27/10/1994,28/10/1994,100.00,1.00189000,0.19,1000.00,1001.89
28/10/1994,29/10/1994,100.00,1.00188667,0.19,1000.00,1001.88
29/10/1994,30/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
30/10/1994,31/10/1994,100.00,1.00000000,0.00,1000.00,1000.00
31/10/1994,01/11/1994,100.00,1.00201333,0.20,1000.00,1002.01
01/11/1994,02/11/1994,100.00,1.00202333,0.20,1000.00,1002.02
02/11/1994,03/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
03/11/1994,04/11/1994,100.00,1.00202333,0.20,1000.00,1002.02
04/11/1994,05/11/1994,100.00,1.00202667,0.20,1000.00,1002.02
05/11/1994,06/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
06/11/1994,07/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
07/11/1994,08/11/1994,100.00,1.00203667,0.20,1000.00,1002.03
08/11/1994,09/11/1994,100.00,1.00204000,0.20,1000.00,1002.04
09/11/1994,10/11/1994,100.00,1.00204333,0.20,1000.00,1002.04
10/11/1994,11/11/1994,100.00,1.00204000,0.20,1000.00,1002.04
11/11/1994,12/11/1994,100.00,1.00203000,0.20,1000.00,1002.03
12/11/1994,13/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
13/11/1994,14/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
14/11/1994,15/11/1994,100.00,1.00203333,0.20,1000.00,1002.03
15/11/1994,16/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
16/11/1994,17/11/1994,100.00,1.00203000,0.20,1000.00,1002.03
17/11/1994,18/11/1994,100.00,1.00202667,0.20,1000.00,1002.02
18/11/1994,19/11/1994,100.00,1.00202667,0.20,1000.00,1002.02
19/11/1994,20/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
20/11/1994,21/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
21/11/1994,22/11/1994,100.00,1.00202667,0.20,1000.00,1002.02
22/11/1994,23/11/1994,100.00,1.00202333,0.20,1000.00,1002.02
23/11/1994,24/11/1994,100.00,1.00202000,0.20,1000.00,1002.02
24/11/1994,25/11/1994,100.00,1.00201667,0.20,1000.00,1002.01
25/11/1994,26/11/1994,100.00,1.00201333,0.20,1000.00,1002.01
26/11/1994,27/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
27/11/1994,28/11/1994,100.00,1.00000000,0.00,1000.00,1000.00
28/11/1994,29/11/1994,100.00,1.00201333,0.20,1000.00,1002.01
29/11/1994,30/11/1994,100.00,1.00199333,0.20,1000.00,1001.99
30/11/1994,01/12/1994,100.00,1.00183333,0.18,1000.00,1001.83
01/12/1994,02/12/1994,100.00,1.00183333,0.18,1000.00,1001.83
02/12/1994,03/12/1994,100.00,1.00183333,0.18,1000.00,1001.83
03/12/1994,04/12/1994,100.00,1.00000000,0.00,1000.00,1000.00
04/12/1994,05/12/1994,100.00,1.00000000,0.00,1000.00,1000.00
05/12/1994,06/12/1994,100.00,1.00183333,0.18,1000.00,1001.83
06/12/1994,07/12/1994,100.00,1.00175333,0.18,1000.00,1001.75
07/12/1994,08/12/1994,100.00,1.00175333,0.18,1000.00,1001.75
